payment_id,tenant_id,due_date,payment_date,amount_due,amount_paid,late_fee,payment_status,payment_method,days_late,month_year
PAY000026,TEN0002,2023-01-31,2023-02-02,1479,1479.0,0.0,On Time,Check,0,2023-01
PAY000027,TEN0002,2023-03-02,2023-03-03,1479,1479.0,0.0,On Time,Credit Card,0,2023-03
PAY000028,TEN0002,2023-04-01,2023-04-20,1479,1552.95,73.95,Late,Online Portal,19,2023-04
PAY000029,TEN0002,2023-05-01,2023-05-02,1479,1479.0,0.0,On Time,Credit Card,0,2023-05
PAY000030,TEN0002,2023-05-31,2023-06-07,1479,1552.95,73.95,Late,Credit Card,7,2023-05
PAY000031,TEN0002,2023-06-30,2023-07-22,1479,1552.95,73.95,Late,ACH,22,2023-06
PAY000032,TEN0002,2023-07-30,2023-08-12,1479,1552.95,73.95,Late,Credit Card,13,2023-07
PAY000033,TEN0002,2023-08-29,2023-08-31,1479,1479.0,0.0,On Time,Credit Card,0,2023-08
PAY000034,TEN0002,2023-09-28,2023-09-29,1479,1479.0,0.0,On Time,Credit Card,0,2023-09
PAY000035,TEN0002,2023-10-28,2023-10-29,1479,1479.0,0.0,On Time,Online Portal,0,2023-10
PAY000036,TEN0002,2023-11-27,2023-12-05,1479,1552.95,73.95,Late,Check,8,2023-11
PAY000037,TEN0002,2023-12-27,2023-12-29,1479,1479.0,0.0,On Time,Credit Card,0,2023-12
PAY000038,TEN0002,2024-01-26,2024-01-28,1479,1479.0,0.0,On Time,ACH,0,2024-01
PAY000039,TEN0004,2023-01-01,,1737,0.0,0.0,Failed,Online Portal,6,2023-01
PAY000040,TEN0004,2023-01-31,2023-01-31,1737,1737.0,0.0,On Time,Online Portal,0,2023-01
PAY000041,TEN0004,2023-03-02,2023-03-02,1737,1737.0,0.0,On Time,ACH,0,2023-03
PAY000042,TEN0004,2023-04-01,,1737,0.0,0.0,Failed,Online Portal,7,2023-04
PAY000043,TEN0004,2023-05-01,2023-05-11,1737,1823.85,86.85,Late,Online Portal,10,2023-05
PAY000044,TEN0004,2023-05-31,2023-05-31,1737,1737.0,0.0,On Time,Check,0,2023-05
PAY000045,TEN0004,2023-06-30,2023-07-24,1737,1823.85,86.85,Late,Credit Card,24,2023-06
PAY000046,TEN0004,2023-07-30,2023-07-31,1737,1737.0,0.0,On Time,Credit Card,0,2023-07
PAY000047,TEN0004,2023-08-29,2023-08-29,1737,1737.0,0.0,On Time,Check,0,2023-08
PAY000048,TEN0005,2023-01-01,2023-01-03,3197,3197.0,0.0,On Time,Online Portal,0,2023-01
PAY000049,TEN0005,2023-01-31,2023-02-02,3197,3197.0,0.0,On Time,Credit Card,0,2023-01
PAY000050,TEN0005,2023-03-02,2023-03-03,3197,3197.0,0.0,On Time,Check,0,2023-03
PAY000051,TEN0005,2023-04-01,2023-04-02,3197,3197.0,0.0,On Time,Credit Card,0,2023-04
PAY000052,TEN0005,2023-05-01,2023-05-02,3197,3197.0,0.0,On Time,Check,0,2023-05
PAY000053,TEN0005,2023-05-31,2023-05-31,3197,3197.0,0.0,On Time,Check,0,2023-05
PAY000054,TEN0005,2023-06-30,2023-07-01,3197,3197.0,0.0,On Time,ACH,0,2023-06
PAY000055,TEN0005,2023-07-30,2023-07-31,3197,3197.0,0.0,On Time,Online Portal,0,2023-07
PAY000056,TEN0005,2023-08-29,2023-08-30,3197,3197.0,0.0,On Time,Credit Card,0,2023-08
PAY000057,TEN0005,2023-09-28,2023-09-28,3197,3197.0,0.0,On Time,Credit Card,0,2023-09
PAY000058,TEN0005,2023-10-28,2023-11-17,3197,3356.85,159.85,Late,Check,20,2023-10
PAY000059,TEN0005,2023-11-27,2023-12-23,3197,3356.85,159.85,Late,Online Portal,26,2023-11
PAY000060,TEN0005,2023-12-27,2023-12-27,3197,3197.0,0.0,On Time,Online Portal,0,2023-12
PAY000061,TEN0005,2024-01-26,2024-01-28,3197,3197.0,0.0,On Time,Credit Card,0,2024-01
PAY000062,TEN0005,2024-02-25,2024-02-27,3197,3197.0,0.0,On Time,Credit Card,0,2024-02
PAY000063,TEN0005,2024-03-26,2024-03-26,3197,3197.0,0.0,On Time,Check,0,2024-03
PAY000064,TEN0005,2024-04-25,2024-05-01,3197,3356.85,159.85,Late,Online Portal,6,2024-04
PAY000065,TEN0005,2024-05-25,2024-05-27,3197,3197.0,0.0,On Time,Online Portal,0,2024-05
PAY000066,TEN0005,2024-06-24,2024-06-27,3197,3356.85,159.85,Late,ACH,3,2024-06
PAY000067,TEN0005,2024-07-24,2024-07-30,3197,3356.85,159.85,Late,Check,6,2024-07
PAY000068,TEN0005,2024-08-23,2024-08-25,3197,3197.0,0.0,On Time,ACH,0,2024-08
PAY000069,TEN0006,2023-01-01,2023-01-04,2150,2257.5,107.5,Late,Credit Card,3,2023-01
PAY000070,TEN0006,2023-01-31,2023-02-01,2150,2150.0,0.0,On Time,Credit Card,0,2023-01
PAY000071,TEN0006,2023-03-02,2023-03-02,2150,2150.0,0.0,On Time,Credit Card,0,2023-03
PAY000072,TEN0006,2023-04-01,2023-04-28,2150,2257.5,107.5,Late,ACH,27,2023-04
PAY000073,TEN0006,2023-05-01,2023-05-02,2150,2150.0,0.0,On Time,ACH,0,2023-05
PAY000074,TEN0006,2023-05-31,2023-05-31,2150,2150.0,0.0,On Time,Check,0,2023-05
PAY000075,TEN0006,2023-06-30,2023-07-01,2150,2150.0,0.0,On Time,Online Portal,0,2023-06
PAY000076,TEN0006,2023-07-30,2023-07-30,2150,2150.0,0.0,On Time,Check,0,2023-07
PAY000077,TEN0006,2023-08-29,2023-08-30,2150,2150.0,0.0,On Time,Check,0,2023-08
PAY000078,TEN0006,2023-09-28,2023-09-28,2150,2150.0,0.0,On Time,Check,0,2023-09
PAY000079,TEN0007,2023-01-01,2023-01-01,2088,2088.0,0.0,On Time,Check,0,2023-01
PAY000080,TEN0007,2023-01-31,2023-02-02,2088,2088.0,0.0,On Time,Credit Card,0,2023-01
PAY000081,TEN0007,2023-03-02,2023-03-02,2088,2088.0,0.0,On Time,ACH,0,2023-03
PAY000082,TEN0007,2023-04-01,2023-04-03,2088,2088.0,0.0,On Time,ACH,0,2023-04
PAY000083,TEN0007,2023-05-01,2023-05-24,2088,2192.4,104.4,Late,Credit Card,23,2023-05
PAY000084,TEN0007,2023-05-31,2023-06-02,2088,2088.0,0.0,On Time,Check,0,2023-05
PAY000085,TEN0007,2023-06-30,2023-06-30,2088,2088.0,0.0,On Time,Online Portal,0,2023-06
PAY000086,TEN0007,2023-07-30,2023-08-07,2088,2192.4,104.4,Late,ACH,8,2023-07
PAY000087,TEN0007,2023-08-29,2023-08-29,2088,2088.0,0.0,On Time,ACH,0,2023-08
PAY000088,TEN0007,2023-09-28,2023-09-30,2088,2088.0,0.0,On Time,Online Portal,0,2023-09
PAY000089,TEN0007,2023-10-28,2023-10-28,2088,2088.0,0.0,On Time,Credit Card,0,2023-10
PAY000090,TEN0007,2023-11-27,2023-11-27,2088,2088.0,0.0,On Time,Check,0,2023-11
PAY000091,TEN0007,2023-12-27,2023-12-29,2088,2088.0,0.0,On Time,Credit Card,0,2023-12
PAY000092,TEN0007,2024-01-26,2024-01-28,2088,2088.0,0.0,On Time,ACH,0,2024-01
PAY000093,TEN0007,2024-02-25,2024-03-19,2088,2192.4,104.4,Late,ACH,23,2024-02
PAY000094,TEN0007,2024-03-26,2024-04-05,2088,2192.4,104.4,Late,Credit Card,10,2024-03
PAY000095,TEN0007,2024-04-25,2024-04-26,2088,2088.0,0.0,On Time,Check,0,2024-04
PAY000096,TEN0008,2023-01-01,2023-01-02,2492,2492.0,0.0,On Time,Check,0,2023-01
PAY000097,TEN0008,2023-01-31,2023-01-31,2492,2492.0,0.0,On Time,Online Portal,0,2023-01
PAY000098,TEN0008,2023-03-02,2023-03-04,2492,2492.0,0.0,On Time,Credit Card,0,2023-03
PAY000099,TEN0009,2023-01-01,2023-01-01,3049,3049.0,0.0,On Time,Check,0,2023-01
PAY000100,TEN0009,2023-01-31,2023-02-01,3049,3049.0,0.0,On Time,Online Portal,0,2023-01
PAY000101,TEN0009,2023-03-02,2023-03-04,3049,3049.0,0.0,On Time,Check,0,2023-03
PAY000102,TEN0009,2023-04-01,2023-04-01,3049,3049.0,0.0,On Time,Online Portal,0,2023-04
PAY000103,TEN0009,2023-05-01,2023-05-02,3049,3049.0,0.0,On Time,Credit Card,0,2023-05
PAY000104,TEN0009,2023-05-31,2023-06-02,3049,3049.0,0.0,On Time,Online Portal,0,2023-05
PAY000105,TEN0009,2023-06-30,2023-06-30,3049,3049.0,0.0,On Time,Credit Card,0,2023-06
PAY000106,TEN0009,2023-07-30,2023-07-30,3049,3049.0,0.0,On Time,Credit Card,0,2023-07
PAY000107,TEN0009,2023-08-29,2023-08-31,3049,3049.0,0.0,On Time,Online Portal,0,2023-08
PAY000108,TEN0009,2023-09-28,2023-09-30,3049,3049.0,0.0,On Time,Online Portal,0,2023-09
PAY000109,TEN0009,2023-10-28,2023-10-28,3049,3049.0,0.0,On Time,Credit Card,0,2023-10
PAY000110,TEN0009,2023-11-27,2023-11-29,3049,3049.0,0.0,On Time,Credit Card,0,2023-11
PAY000111,TEN0009,2023-12-27,2023-12-29,3049,3049.0,0.0,On Time,ACH,0,2023-12
PAY000112,TEN0009,2024-01-26,2024-02-02,3049,3201.45,152.45,Late,ACH,7,2024-01
PAY000113,TEN0009,2024-02-25,2024-02-26,3049,3049.0,0.0,On Time,Check,0,2024-02
PAY000114,TEN0009,2024-03-26,2024-03-28,3049,3049.0,0.0,On Time,Online Portal,0,2024-03
PAY000115,TEN0009,2024-04-25,2024-04-27,3049,3049.0,0.0,On Time,Credit Card,0,2024-04
PAY000116,TEN0009,2024-05-25,2024-06-04,3049,3201.45,152.45,Late,ACH,10,2024-05
PAY000117,TEN0009,2024-06-24,2024-07-03,3049,3201.45,152.45,Late,ACH,9,2024-06
PAY000118,TEN0009,2024-07-24,2024-07-26,3049,3049.0,0.0,On Time,ACH,0,2024-07
PAY000119,TEN0011,2023-01-01,2023-01-02,2841,2841.0,0.0,On Time,Credit Card,0,2023-01
PAY000120,TEN0011,2023-01-31,2023-01-31,2841,2841.0,0.0,On Time,Credit Card,0,2023-01
PAY000121,TEN0011,2023-03-02,2023-03-04,2841,2841.0,0.0,On Time,ACH,0,2023-03
PAY000122,TEN0011,2023-04-01,2023-04-01,2841,2841.0,0.0,On Time,Check,0,2023-04
PAY000123,TEN0011,2023-05-01,2023-05-01,2841,2841.0,0.0,On Time,ACH,0,2023-05
PAY000124,TEN0011,2023-05-31,2023-06-02,2841,2841.0,0.0,On Time,Online Portal,0,2023-05
PAY000125,TEN0011,2023-06-30,2023-07-19,2841,2983.05,142.05,Late,Check,19,2023-06
PAY000126,TEN0011,2023-07-30,2023-08-01,2841,2841.0,0.0,On Time,Online Portal,0,2023-07
PAY000127,TEN0011,2023-08-29,2023-08-31,2841,2841.0,0.0,On Time,Credit Card,0,2023-08
PAY000128,TEN0011,2023-09-28,2023-09-30,2841,2841.0,0.0,On Time,Online Portal,0,2023-09
PAY000129,TEN0011,2023-10-28,2023-10-28,2841,2841.0,0.0,On Time,Check,0,2023-10
PAY000130,TEN0011,2023-11-27,2023-11-29,2841,2841.0,0.0,On Time,Credit Card,0,2023-11
PAY000131,TEN0011,2023-12-27,2023-12-29,2841,2841.0,0.0,On Time,Online Portal,0,2023-12
PAY000132,TEN0011,2024-01-26,2024-01-27,2841,2841.0,0.0,On Time,Credit Card,0,2024-01
PAY000133,TEN0012,2023-01-01,2023-01-03,2371,2371.0,0.0,On Time,Online Portal,0,2023-01
PAY000134,TEN0012,2023-01-31,2023-02-01,2371,2371.0,0.0,On Time,Check,0,2023-01
PAY000135,TEN0012,2023-03-02,2023-03-02,2371,2371.0,0.0,On Time,Online Portal,0,2023-03
PAY000136,TEN0012,2023-04-01,2023-04-03,2371,2371.0,0.0,On Time,Credit Card,0,2023-04
PAY000137,TEN0012,2023-05-01,2023-05-02,2371,2371.0,0.0,On Time,Online Portal,0,2023-05
PAY000138,TEN0012,2023-05-31,2023-05-31,2371,2371.0,0.0,On Time,ACH,0,2023-05
PAY000139,TEN0012,2023-06-30,2023-07-02,2371,2371.0,0.0,On Time,ACH,0,2023-06
PAY000140,TEN0012,2023-07-30,2023-07-31,2371,2371.0,0.0,On Time,ACH,0,2023-07
PAY000141,TEN0012,2023-08-29,2023-08-29,2371,2371.0,0.0,On Time,Check,0,2023-08
PAY000142,TEN0012,2023-09-28,2023-09-28,2371,2371.0,0.0,On Time,Credit Card,0,2023-09
PAY000143,TEN0012,2023-10-28,2023-10-30,2371,2371.0,0.0,On Time,Check,0,2023-10
PAY000144,TEN0012,2023-11-27,2023-12-14,2371,2489.55,118.55,Late,Check,17,2023-11
PAY000145,TEN0012,2023-12-27,2023-12-29,2371,2371.0,0.0,On Time,Check,0,2023-12
PAY000146,TEN0012,2024-01-26,2024-02-23,2371,2489.55,118.55,Late,Online Portal,28,2024-01
PAY000147,TEN0013,2023-01-01,2023-01-03,1894,1894.0,0.0,On Time,ACH,0,2023-01
PAY000148,TEN0013,2023-01-31,2023-02-01,1894,1894.0,0.0,On Time,Check,0,2023-01
PAY000149,TEN0013,2023-03-02,2023-03-04,1894,1894.0,0.0,On Time,ACH,0,2023-03
PAY000150,TEN0013,2023-04-01,2023-04-02,1894,1894.0,0.0,On Time,ACH,0,2023-04
PAY000151,TEN0013,2023-05-01,2023-05-03,1894,1894.0,0.0,On Time,Online Portal,0,2023-05
PAY000152,TEN0013,2023-05-31,2023-05-31,1894,1894.0,0.0,On Time,Credit Card,0,2023-05
PAY000153,TEN0013,2023-06-30,2023-07-01,1894,1894.0,0.0,On Time,Online Portal,0,2023-06
PAY000154,TEN0013,2023-07-30,2023-07-30,1894,1894.0,0.0,On Time,Check,0,2023-07
PAY000155,TEN0013,2023-08-29,2023-08-31,1894,1894.0,0.0,On Time,ACH,0,2023-08
PAY000156,TEN0013,2023-09-28,2023-09-30,1894,1894.0,0.0,On Time,Online Portal,0,2023-09
PAY000157,TEN0013,2023-10-28,2023-10-30,1894,1894.0,0.0,On Time,ACH,0,2023-10
PAY000158,TEN0013,2023-11-27,2023-11-29,1894,1894.0,0.0,On Time,Check,0,2023-11
PAY000159,TEN0013,2023-12-27,2023-12-29,1894,1894.0,0.0,On Time,Check,0,2023-12
PAY000160,TEN0013,2024-01-26,2024-01-28,1894,1894.0,0.0,On Time,Online Portal,0,2024-01
PAY000161,TEN0013,2024-02-25,2024-02-27,1894,1894.0,0.0,On Time,ACH,0,2024-02
PAY000162,TEN0013,2024-03-26,2024-03-27,1894,1894.0,0.0,On Time,Online Portal,0,2024-03
PAY000163,TEN0013,2024-04-25,2024-04-26,1894,1894.0,0.0,On Time,ACH,0,2024-04
PAY000164,TEN0013,2024-05-25,2024-05-27,1894,1894.0,0.0,On Time,ACH,0,2024-05
PAY000165,TEN0013,2024-06-24,2024-06-25,1894,1894.0,0.0,On Time,ACH,0,2024-06
PAY000166,TEN0013,2024-07-24,2024-07-25,1894,1894.0,0.0,On Time,Check,0,2024-07
PAY000167,TEN0013,2024-08-23,2024-08-24,1894,1894.0,0.0,On Time,Check,0,2024-08
PAY000168,TEN0014,2023-01-01,2023-01-03,2629,2629.0,0.0,On Time,Check,0,2023-01
PAY000169,TEN0014,2023-01-31,2023-02-02,2629,2629.0,0.0,On Time,Check,0,2023-01
PAY000170,TEN0014,2023-03-02,2023-03-13,2629,2760.45,131.45,Late,Credit Card,11,2023-03
PAY000171,TEN0014,2023-04-01,2023-04-03,2629,2629.0,0.0,On Time,ACH,0,2023-04
PAY000172,TEN0014,2023-05-01,2023-05-17,2629,2760.45,131.45,Late,Credit Card,16,2023-05
PAY000173,TEN0014,2023-05-31,2023-06-14,2629,2760.45,131.45,Late,ACH,14,2023-05
PAY000174,TEN0014,2023-06-30,2023-06-30,2629,2629.0,0.0,On Time,Credit Card,0,2023-06
PAY000175,TEN0014,2023-07-30,2023-07-31,2629,2629.0,0.0,On Time,Check,0,2023-07
PAY000176,TEN0014,2023-08-29,2023-08-29,2629,2629.0,0.0,On Time,Check,0,2023-08
PAY000177,TEN0014,2023-09-28,2023-09-28,2629,2629.0,0.0,On Time,ACH,0,2023-09
PAY000178,TEN0014,2023-10-28,2023-11-01,2629,2760.45,131.45,Late,Check,4,2023-10
PAY000179,TEN0014,2023-11-27,2023-11-28,2629,2629.0,0.0,On Time,ACH,0,2023-11
PAY000180,TEN0014,2023-12-27,2023-12-27,2629,2629.0,0.0,On Time,Credit Card,0,2023-12
PAY000181,TEN0014,2024-01-26,2024-01-26,2629,2629.0,0.0,On Time,Credit Card,0,2024-01
PAY000182,TEN0014,2024-02-25,2024-03-16,2629,2760.45,131.45,Late,Credit Card,20,2024-02
PAY000183,TEN0014,2024-03-26,2024-03-28,2629,2629.0,0.0,On Time,Check,0,2024-03
PAY000184,TEN0014,2024-04-25,2024-04-27,2629,2629.0,0.0,On Time,ACH,0,2024-04
PAY000185,TEN0014,2024-05-25,2024-05-27,2629,2629.0,0.0,On Time,ACH,0,2024-05
PAY000186,TEN0015,2023-01-01,2023-01-13,1778,1866.9,88.9,Late,Credit Card,12,2023-01
PAY000187,TEN0015,2023-01-31,2023-02-23,1778,1866.9,88.9,Late,ACH,23,2023-01
PAY000188,TEN0015,2023-03-02,2023-03-03,1778,1778.0,0.0,On Time,Credit Card,0,2023-03
PAY000189,TEN0015,2023-04-01,2023-04-01,1778,1778.0,0.0,On Time,Credit Card,0,2023-04
PAY000190,TEN0015,2023-05-01,2023-05-03,1778,1778.0,0.0,On Time,Online Portal,0,2023-05
PAY000191,TEN0015,2023-05-31,2023-06-01,1778,1778.0,0.0,On Time,ACH,0,2023-05
PAY000192,TEN0015,2023-06-30,2023-07-01,1778,1778.0,0.0,On Time,ACH,0,2023-06
PAY000193,TEN0015,2023-07-30,2023-08-01,1778,1778.0,0.0,On Time,Online Portal,0,2023-07
PAY000194,TEN0015,2023-08-29,2023-08-31,1778,1778.0,0.0,On Time,ACH,0,2023-08
PAY000195,TEN0015,2023-09-28,2023-10-17,1778,1866.9,88.9,Late,Online Portal,19,2023-09
PAY000196,TEN0015,2023-10-28,2023-10-28,1778,1778.0,0.0,On Time,ACH,0,2023-10
PAY000197,TEN0017,2023-01-01,2023-01-02,862,862.0,0.0,On Time,Credit Card,0,2023-01
PAY000198,TEN0017,2023-01-31,2023-02-02,862,862.0,0.0,On Time,Credit Card,0,2023-01
PAY000199,TEN0017,2023-03-02,2023-03-04,862,862.0,0.0,On Time,Credit Card,0,2023-03
PAY000200,TEN0017,2023-04-01,2023-04-01,862,862.0,0.0,On Time,Credit Card,0,2023-04
PAY000201,TEN0017,2023-05-01,2023-05-02,862,862.0,0.0,On Time,Online Portal,0,2023-05
PAY000202,TEN0017,2023-05-31,2023-05-31,862,862.0,0.0,On Time,Online Portal,0,2023-05
PAY000203,TEN0017,2023-06-30,2023-07-02,862,862.0,0.0,On Time,Check,0,2023-06
PAY000204,TEN0017,2023-07-30,2023-08-01,862,862.0,0.0,On Time,Check,0,2023-07
PAY000205,TEN0017,2023-08-29,2023-08-30,862,862.0,0.0,On Time,Credit Card,0,2023-08
PAY000206,TEN0017,2023-09-28,2023-09-28,862,862.0,0.0,On Time,Check,0,2023-09
PAY000207,TEN0017,2023-10-28,2023-10-30,862,862.0,0.0,On Time,Check,0,2023-10
PAY000208,TEN0017,2023-11-27,2023-11-28,862,862.0,0.0,On Time,Check,0,2023-11
PAY000209,TEN0017,2023-12-27,2023-12-27,862,862.0,0.0,On Time,Check,0,2023-12
PAY000210,TEN0017,2024-01-26,2024-01-28,862,862.0,0.0,On Time,ACH,0,2024-01
PAY000211,TEN0018,2023-01-01,2023-01-01,3461,3461.0,0.0,On Time,ACH,0,2023-01
PAY000212,TEN0018,2023-01-31,2023-02-01,3461,3461.0,0.0,On Time,Online Portal,0,2023-01
PAY000213,TEN0018,2023-03-02,2023-03-04,3461,3461.0,0.0,On Time,Credit Card,0,2023-03
PAY000214,TEN0018,2023-04-01,2023-04-01,3461,3461.0,0.0,On Time,ACH,0,2023-04
PAY000215,TEN0018,2023-05-01,2023-05-01,3461,3461.0,0.0,On Time,Credit Card,0,2023-05
PAY000216,TEN0018,2023-05-31,2023-06-02,3461,3461.0,0.0,On Time,Check,0,2023-05
PAY000217,TEN0018,2023-06-30,2023-06-30,3461,3461.0,0.0,On Time,ACH,0,2023-06
PAY000218,TEN0018,2023-07-30,2023-08-01,3461,3461.0,0.0,On Time,Online Portal,0,2023-07
PAY000219,TEN0019,2023-01-01,2023-01-03,1761,1761.0,0.0,On Time,Online Portal,0,2023-01
PAY000220,TEN0019,2023-01-31,2023-02-01,1761,1761.0,0.0,On Time,Check,0,2023-01
PAY000221,TEN0019,2023-03-02,2023-03-03,1761,1761.0,0.0,On Time,Online Portal,0,2023-03
PAY000222,TEN0019,2023-04-01,2023-04-10,1761,1849.05,88.05,Late,Online Portal,9,2023-04
PAY000223,TEN0019,2023-05-01,2023-05-01,1761,1761.0,0.0,On Time,Credit Card,0,2023-05
PAY000224,TEN0019,2023-05-31,2023-05-31,1761,1761.0,0.0,On Time,Check,0,2023-05
PAY000225,TEN0019,2023-06-30,2023-06-30,1761,1761.0,0.0,On Time,Check,0,2023-06
PAY000226,TEN0020,2023-01-01,2023-01-02,2026,2026.0,0.0,On Time,Credit Card,0,2023-01
PAY000227,TEN0020,2023-01-31,2023-01-31,2026,2026.0,0.0,On Time,Online Portal,0,2023-01
PAY000228,TEN0020,2023-03-02,2023-03-02,2026,2026.0,0.0,On Time,Online Portal,0,2023-03
PAY000229,TEN0020,2023-04-01,2023-04-02,2026,2026.0,0.0,On Time,ACH,0,2023-04
PAY000230,TEN0020,2023-05-01,2023-05-02,2026,2026.0,0.0,On Time,Online Portal,0,2023-05
PAY000231,TEN0020,2023-05-31,2023-05-31,2026,2026.0,0.0,On Time,Check,0,2023-05
PAY000232,TEN0020,2023-06-30,2023-07-01,2026,2026.0,0.0,On Time,ACH,0,2023-06
PAY000233,TEN0020,2023-07-30,2023-08-01,2026,2026.0,0.0,On Time,ACH,0,2023-07
PAY000234,TEN0020,2023-08-29,2023-09-15,2026,2127.3,101.3,Late,Credit Card,17,2023-08
PAY000235,TEN0020,2023-09-28,2023-09-29,2026,2026.0,0.0,On Time,Online Portal,0,2023-09
PAY000236,TEN0020,2023-10-28,2023-11-09,2026,2127.3,101.3,Late,ACH,12,2023-10
PAY000237,TEN0020,2023-11-27,2023-11-27,2026,2026.0,0.0,On Time,Online Portal,0,2023-11
PAY000238,TEN0020,2023-12-27,2023-12-28,2026,2026.0,0.0,On Time,ACH,0,2023-12
PAY000239,TEN0020,2024-01-26,2024-01-26,2026,2026.0,0.0,On Time,Check,0,2024-01
PAY000240,TEN0020,2024-02-25,2024-02-27,2026,2026.0,0.0,On Time,Check,0,2024-02
PAY000241,TEN0020,2024-03-26,2024-03-27,2026,2026.0,0.0,On Time,Online Portal,0,2024-03
PAY000242,TEN0020,2024-04-25,2024-05-12,2026,2127.3,101.3,Late,Check,17,2024-04
PAY000243,TEN0021,2023-01-01,2023-01-14,2975,3123.75,148.75,Late,Check,13,2023-01
PAY000244,TEN0021,2023-01-31,2023-01-31,2975,2975.0,0.0,On Time,ACH,0,2023-01
PAY000245,TEN0021,2023-03-02,2023-03-19,2975,3123.75,148.75,Late,ACH,17,2023-03
PAY000246,TEN0021,2023-04-01,2023-04-02,2975,2975.0,0.0,On Time,Check,0,2023-04
PAY000247,TEN0021,2023-05-01,2023-05-02,2975,2975.0,0.0,On Time,ACH,0,2023-05
PAY000248,TEN0021,2023-05-31,2023-06-01,2975,2975.0,0.0,On Time,Check,0,2023-05
PAY000249,TEN0021,2023-06-30,2023-06-30,2975,2975.0,0.0,On Time,Check,0,2023-06
PAY000250,TEN0021,2023-07-30,2023-07-30,2975,2975.0,0.0,On Time,Online Portal,0,2023-07
PAY000251,TEN0021,2023-08-29,2023-08-31,2975,2975.0,0.0,On Time,Online Portal,0,2023-08
PAY000252,TEN0021,2023-09-28,2023-09-28,2975,2975.0,0.0,On Time,ACH,0,2023-09
PAY000253,TEN0021,2023-10-28,2023-10-28,2975,2975.0,0.0,On Time,ACH,0,2023-10
PAY000254,TEN0021,2023-11-27,2023-11-28,2975,2975.0,0.0,On Time,ACH,0,2023-11
PAY000255,TEN0021,2023-12-27,2023-12-28,2975,2975.0,0.0,On Time,ACH,0,2023-12
PAY000256,TEN0021,2024-01-26,2024-01-27,2975,2975.0,0.0,On Time,Check,0,2024-01
PAY000257,TEN0021,2024-02-25,2024-02-27,2975,2975.0,0.0,On Time,Online Portal,0,2024-02
PAY000258,TEN0021,2024-03-26,2024-03-27,2975,2975.0,0.0,On Time,ACH,0,2024-03
PAY000259,TEN0021,2024-04-25,2024-04-25,2975,2975.0,0.0,On Time,Check,0,2024-04
PAY000260,TEN0022,2023-01-01,2023-01-03,1751,1751.0,0.0,On Time,Check,0,2023-01
